type,rank,feature_id,score,Kid_mean,Kid_var,Teenager_mean,Teenager_var,Adult_mean,Adult_var,Male_mean,Male_var,Female_mean,Female_var,Valence_mean,Valence_var,Arousal_mean,Arousal_var,Dominance_mean,Dominance_var,Peace_mean,Peace_var,Affection_mean,Affection_var,Esteem_mean,Esteem_var,Anticipation_mean,Anticipation_var,Engagement_mean,Engagement_var,Confidence_mean,Confidence_var,Happiness_mean,Happiness_var,Pleasure_mean,Pleasure_var,Excitement_mean,Excitement_var,Surprise_mean,Surprise_var,Sympathy_mean,Sympathy_var,Doubt/Confusion_mean,Doubt/Confusion_var,Disconnection_mean,Disconnection_var,Fatigue_mean,Fatigue_var,Embarrassment_mean,Embarrassment_var,Yearning_mean,Yearning_var,Disapproval_mean,Disapproval_var,Aversion_mean,Aversion_var,Annoyance_mean,Annoyance_var,Anger_mean,Anger_var,Sensitivity_mean,Sensitivity_var,Sadness_mean,Sadness_var,Disquietment_mean,Disquietment_var,Fear_mean,Fear_var,Pain_mean,Pain_var,Suffering_mean,Suffering_var,feat
Male,12,203654,0.001812689191212121,0.004450497,0.0415004,0.0039144414,0.0447437,0.004277315,0.045080934,0.004678295,0.049883917,0.003496838,0.03516433,0.0042610276,0.044685256,0.0042610276,0.044685256,0.0042610276,0.044685256,0.002801513,0.029302077,0.0029740504,0.0318218,0.0043375376,0.04275093,0.005874808,0.0624,0.0034785597,0.036912028,0.0067669903,0.07026072,0.0048479796,0.050141912,0.0038177108,0.03858521,0.007829576,0.08143322,0.0007758892,0.009727626,0.0051828697,0.053593177,0.0011049719,0.0153121315,0.0007779042,0.010807736,0.0018506675,0.022257552,0.0036193437,0.04017857,0.00072222593,0.007968128,0.00033506707,0.0025062656,0.0,0.0,0.0010528337,0.008810572,0.00046784274,0.0037453184,0.0024835027,0.02,0.00025274645,0.0040650405,0.001169798,0.011686143,0.0016761232,0.020408163,0.00091438735,0.011952192,0.00052791875,0.006153846,203654
Male,13,212033,0.0017410792060606065,0.0015684654,0.054668795,0.0031192412,0.10469157,0.0039699096,0.12223287,0.004487287,0.14055343,0.0021057746,0.064582855,0.003646187,0.113722146,0.003646187,0.113722146,0.003646187,0.113722146,0.0029561473,0.090037294,0.0025372924,0.08035004,0.0034422234,0.10408922,0.0044346834,0.14256,0.003478731,0.1097307,0.004867049,0.15554574,0.003921602,0.117313154,0.0034789403,0.10570739,0.004866241,0.15553746,0.0024445092,0.07782101,0.0034090101,0.105968334,0.0018799936,0.055359244,0.0027753457,0.081911266,0.0019296396,0.060413353,0.0025961937,0.08928572,0.0026603835,0.08366534,0.0017424248,0.05263158,0.0014557687,0.045643155,0.0016802622,0.052863438,0.0014621667,0.04868914,0.0018786856,0.06,0.0016932691,0.05487805,0.0026198358,0.081803,0.0024205777,0.073469386,0.0012617098,0.043824703,0.0010302198,0.027692307,212033
Male,14,125138,0.001690946840000001,0.0024970488,0.03631285,0.0048295506,0.052997395,0.0031756202,0.040139176,0.0039191036,0.048189748,0.0020561013,0.027694782,0.0032611284,0.040951338,0.0032611284,0.040951338,0.0032611284,0.040951338,0.0017942656,0.025039958,0.0021171863,0.025457438,0.003550497,0.0436803,0.0047900463,0.05872,0.002604482,0.03274686,0.005240495,0.0658418,0.003418208,0.044623148,0.0024512114,0.03215434,0.0063215108,0.077972315,0.0015122826,0.015564202,0.0044224286,0.052375153,0.00093581434,0.011778563,0.0007091533,0.007394767,0.00093694805,0.011128776,0.0034995633,0.04017857,0.00077210227,0.009296149,0.00016805128,0.0025062656,0.0,0.0,0.0009168289,0.011013215,0.0,0.0,0.0011530904,0.02,0.0002610123,0.0020325202,0.0005813461,0.008347246,0.0021258222,0.024489796,0.0005060507,0.003984064,0.00039907024,0.003076923,125138
Male,15,255491,0.0016330901836363642,0.00092703936,0.02952913,0.001351585,0.041702867,0.0030065991,0.077303216,0.0035918907,0.09280291,0.0008979994,0.025741208,0.0026404625,0.06911807,0.0026404625,0.06911807,0.0026404625,0.06911807,0.0005096076,0.013851891,0.00041937217,0.012728719,0.0019675076,0.053903345,0.0046662334,0.12272,0.0030393212,0.07928187,0.0052840495,0.13367212,0.0011194244,0.031220436,0.0011581987,0.030546624,0.004379292,0.117467426,0.0019499059,0.054474708,0.0011335823,0.031668697,0.0010273429,0.029446408,0.0006990123,0.018202502,0.0015925476,0.03974563,0.0022252288,0.06696428,0.0011529621,0.027888447,0.00252498,0.0726817,0.0011298133,0.0373444,0.002258554,0.059471365,0.003079297,0.086142324,0.00039684688,0.0125,0.00038178093,0.010162601,0.0028761297,0.07345576,0.0023523073,0.06530612,0.002345776,0.06374502,0.0008667331,0.02153846,255491
Male,16,43697,0.0016107770409090902,0.0032881359,0.022346368,0.007156761,0.047784533,0.0057274234,0.03761787,0.0056929872,0.03746,0.005466129,0.036198575,0.005612867,0.037014488,0.005612867,0.037014488,0.005612867,0.037014488,0.002141586,0.013851891,0.002563191,0.01750199,0.0042516775,0.02881041,0.009567797,0.06336,0.0057243677,0.037701976,0.010356451,0.06760937,0.0036610204,0.024124881,0.0032055893,0.020900322,0.0087067215,0.05720684,0.0017298819,0.0116731515,0.0042173914,0.029232644,0.0015168106,0.010600707,0.0013323994,0.009101251,0.004662886,0.030206677,0.0041385265,0.03125,0.00080241635,0.005312085,0.0017245264,0.012531328,0.0020777448,0.016597511,0.0032867729,0.02202643,0.004478523,0.029962547,0.0018828036,0.0125,0.0005339117,0.0040650405,0.006492031,0.043405674,0.0018347692,0.012244898,0.003549113,0.023904383,0.0017969758,0.012307692,43697
Male,17,118658,0.001602021010909091,0.00052430364,0.0103751,0.00634541,0.11511729,0.0017919778,0.03721446,0.0029770688,0.058982242,0.00046106963,0.010227534,0.0020884674,0.04176306,0.0020884674,0.04176306,0.0020884674,0.04176306,0.00027315243,0.0069259456,0.00018441296,0.003977725,0.0012200933,0.026951673,0.0036178601,0.0736,0.002083119,0.041220825,0.005017198,0.098099865,0.0007900431,0.017975403,0.0012451553,0.024115756,0.00502374,0.0997557,0.0013165831,0.021400778,0.0002702381,0.006090134,0.0006819823,0.010600707,0.00025619418,0.005688282,0.00025555995,0.0063593006,0.0009684697,0.02232143,0.00050332147,0.011952192,0.0,0.0,0.00022950109,0.004149378,0.0,0.0,0.00011915195,0.0037453184,0.0002677091,0.0075,8.597194e-05,0.0020325202,0.000652037,0.013355592,0.003739585,0.06938776,0.0007161631,0.01992032,0.0004711716,0.012307692,118658
Male,18,15659,0.001578025378787879,0.0012435572,0.047486033,0.0031853989,0.11902694,0.0035941608,0.12697291,0.004153966,0.14802033,0.001783865,0.06343369,0.0033168953,0.11814603,0.0033168953,0.11814603,0.0033168953,0.11814603,0.0016341743,0.057538625,0.0012390813,0.045346063,0.003284202,0.112453535,0.004463644,0.1616,0.0035264913,0.12603232,0.005342496,0.19244365,0.0022283734,0.07994323,0.0020367638,0.073553056,0.0043469244,0.16001628,0.0019706537,0.07198443,0.0018244523,0.06455542,0.0022097141,0.07656066,0.0028544355,0.09840728,0.0019963367,0.06836248,0.0024270334,0.08928572,0.0017368067,0.058432937,0.002465282,0.0877193,0.001105077,0.041493777,0.0026292864,0.09251101,0.0021980545,0.08239701,0.0013278424,0.045,0.0013044911,0.044715445,0.0026509368,0.09348915,0.0033492686,0.12244898,0.003326504,0.119521916,0.001770047,0.06153846,15659
Male,19,131506,0.0015035975287878791,0.0033889376,0.04668795,0.004042673,0.058644656,0.004096732,0.05728405,0.004555311,0.06381377,0.0030387426,0.042633876,0.0040196907,0.056333456,0.0040196907,0.056333456,0.0040196907,0.056333456,0.0027989803,0.036228023,0.0026997922,0.038981702,0.0032202348,0.049256507,0.0053331293,0.07472,0.003384451,0.047971275,0.0057545574,0.08152895,0.00419598,0.058814254,0.0034996562,0.04863344,0.006701866,0.09466612,0.0016872424,0.025291828,0.004524645,0.06699147,0.0020240452,0.027090695,0.0012063165,0.01934016,0.0023040166,0.033386327,0.004089721,0.05357143,0.0016380978,0.022576362,0.00047441275,0.007518797,0.0016776874,0.024896266,0.0022084906,0.030837005,0.0006608926,0.011235955,0.0031813958,0.0475,0.0020357491,0.040650405,0.0023172123,0.031719532,0.0033369479,0.04897959,0.0015856001,0.027888447,0.001539267,0.024615385,131506
Male,20,148133,0.0014723505125757578,0.00015275416,0.003990423,0.0005497623,0.011728931,0.0020149262,0.039735768,0.002487323,0.049319193,0.00022591082,0.004481728,0.0016886384,0.0334835,0.0016886384,0.0334835,0.0016886384,0.0334835,0.00016921171,0.0037293553,0.000102649225,0.002386635,0.0011204844,0.023234202,0.0033210379,0.0672,0.0018452727,0.03712747,0.003947839,0.07799381,0.00054023566,0.01072217,0.00043553713,0.008842444,0.0029062848,0.055578176,0.0009766854,0.017509727,0.00020926855,0.0048721074,0.00050691766,0.009422851,0.00021231834,0.0045506256,0.00045854814,0.011128776,0.00049708824,0.008928572,0.00040405453,0.007968128,0.00061278796,0.012531328,0.00027522995,0.008298756,0.0012142296,0.019823788,0.00033979656,0.007490637,0.00023737774,0.005,9.843179e-05,0.0040650405,0.0018871526,0.03672788,0.0013807222,0.028571429,0.0014454377,0.03984064,0.00034022392,0.012307692,148133
Female,1,168599,0.0024219288442424245,0.00023278387,0.0047885077,0.0022608389,0.03649001,0.0015600555,0.023246432,0.00034944614,0.005709983,0.0035803425,0.053550906,0.0014905338,0.022606436,0.0014905338,0.022606436,0.0014905338,0.022606436,0.00032420031,0.0058604158,0.0004917236,0.0063643595,0.0017263005,0.020446097,0.0022656422,0.03616,0.0017676256,0.02599641,0.0026226616,0.040433053,0.0013776995,0.01687165,0.0013107313,0.016881028,0.002632141,0.03990228,0.0010505015,0.015564202,0.0007477086,0.012180268,0.0004580523,0.007067138,0.000445346,0.005688282,0.0012878533,0.020667726,0.0008787458,0.013392857,0.0006176848,0.01062417,0.0,0.0,0.00039026156,0.004149378,0.00095975935,0.0154185025,0.00078151317,0.011235955,0.00019104434,0.005,0.0006209756,0.008130081,0.0017952897,0.026711185,0.0009758367,0.020408163,0.0024791649,0.035856575,0.0011544616,0.015384615,168599
